aX,aY,aZ,gX,gY,gZ
-0.872,0.365,-0.225,-0.366,0.916,-0.244
-0.872,0.364,-0.224,-0.061,0.427,-0.305

-0.874,0.362,-0.222,-0.183,0.549,-0.244
-0.873,0.363,-0.226,-0.427,0.488,-0.061
-0.873,0.366,-0.227,-0.549,0.61,-0.183
-0.872,0.366,-0.224,-0.488,0.732,-0.122
-0.872,0.365,-0.224,-0.488,0.732,-0.244
-0.872,0.365,-0.224,-0.549,0.793,-0.183
-0.874,0.366,-0.224,-0.244,0.793,-0.061
-0.872,0.366,-0.223,-0.549,0.977,-0.122
-0.872,0.366,-0.222,-0.366,0.549,-0.122
-0.872,0.365,-0.223,0.061,0.549,-0.061
-0.872,0.366,-0.224,-0.366,0.61,-0.061
-0.871,0.366,-0.226,-0.061,0.488,-0.061
-0.873,0.363,-0.224,-0.122,0.549,-0.122
-0.875,0.365,-0.225,-0.305,0.671,-0.183
-0.873,0.365,-0.224,-0.488,0.671,-0.122
-0.873,0.365,-0.223,-0.366,0.549,-0.122
-0.874,0.367,-0.222,-0.244,0.671,-0.183
-0.872,0.365,-0.222,-0.305,0.671,-0.244
-0.873,0.366,-0.224,-0.183,0.549,-0.366
-0.873,0.364,-0.223,-0.122,0.671,-0.244
-0.872,0.365,-0.225,-0.183,0.549,-0.366
-0.871,0.363,-0.224,-0.244,0.305,-0.244
-0.873,0.365,-0.223,-0.305,0.61,-0.244
-0.872,0.364,-0.222,-0.183,0.549,-0.366
-0.873,0.365,-0.223,0.061,0.488,-0.488
-0.874,0.364,-0.224,-0.061,0.366,-0.183
-0.873,0.364,-0.225,-0.122,0.61,-0.305
-0.872,0.366,-0.225,0.122,0.427,-0.427
-0.871,0.365,-0.225,0.0,0.366,-0.305
-0.872,0.365,-0.224,0.122,0.427,-0.488
-0.875,0.363,-0.224,0.0,0.671,-0.549
-0.874,0.361,-0.224,0.0,0.549,-0.366
-0.873,0.363,-0.225,0.0,0.244,-0.549
-0.876,0.365,-0.224,-0.061,0.488,-0.427
-0.871,0.365,-0.224,-0.061,0.549,-0.427
-0.873,0.365,-0.224,0.183,0.549,-0.366
-0.872,0.365,-0.224,0.0,0.488,-0.244
-0.872,0.365,-0.223,0.427,0.427,-0.427
-0.874,0.366,-0.224,0.488,0.488,-0.488
-0.873,0.364,-0.225,0.183,0.366,-0.488
-0.872,0.364,-0.224,0.122,0.549,-0.549
-0.873,0.367,-0.224,-0.305,0.671,-0.61
-0.872,0.366,-0.224,-0.488,0.732,-0.488
-0.875,0.365,-0.222,0.244,0.549,-0.305
-0.871,0.369,-0.223,1.099,0.488,-0.427
-0.872,0.366,-0.222,0.305,0.549,-0.122
-0.872,0.367,-0.225,0.122,0.244,-0.488
-0.872,0.366,-0.224,0.244,0.488,-0.305
-0.873,0.367,-0.225,0.122,0.61,-0.427
-0.872,0.366,-0.224,0.061,0.549,-0.305
-0.872,0.366,-0.223,0.0,0.427,-0.488
-0.874,0.367,-0.223,0.305,0.549,-0.305
-0.872,0.365,-0.222,0.122,0.183,-0.183
-0.872,0.365,-0.223,0.427,0.183,-0.122
-0.872,0.364,-0.223,0.427,0.244,-0.122
-0.871,0.365,-0.225,0.0,0.549,-0.305
-0.872,0.365,-0.225,-0.122,0.671,-0.427
-0.874,0.367,-0.223,-0.366,0.61,-0.366
-0.872,0.367,-0.221,-0.183,0.793,-0.244
